22/01/2014 22/01/2014, Iniciando monitor de actividad...
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
10/7/2014 8:27 PM, Error al generar ticket de entrada
12/9/2014 7:21 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:22 PM, Error al generar ticket de entrada
12/9/2014 7:23 PM, Error al generar ticket de entrada
12/9/2014 7:23 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:24 PM, Error al generar ticket de entrada
12/9/2014 7:25 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:25 PM, Error al generar ticket de entrada
12/9/2014 7:25 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:26 PM, Error al generar ticket de entrada
12/9/2014 7:26 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:33 PM, Iniciando interfase de entrada - UI...
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
